"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:22:43.7909216 PM","main.exe","24160","Load Image","C:\Windows\System32\ntdll.dll","SUCCESS","Image Base: 0x7fffa8620000, Image Size: 0x267000"
"12:22:43.7923718 PM","main.exe","24160","Load Image","C:\Windows\System32\kernel32.dll","SUCCESS","Image Base: 0x7fffa7440000, Image Size: 0xc9000"
"12:22:43.7925669 PM","main.exe","24160","Load Image","C:\Windows\System32\KernelBase.dll","SUCCESS","Image Base: 0x7fffa51a0000, Image Size: 0x3f1000"
"12:22:43.7955761 PM","main.exe","24160","CreateFile","C:\Windows\System32\apphelp.dll","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.7956221 PM","main.exe","24160","QueryBasicInformationFile","C:\Windows\System32\apphelp.dll","SUCCESS","CreationTime: 3/11/2026 1:06:38 PM, LastAccessTime: 4/4/2026 12:22:43 PM, LastWriteTime: 3/11/2026 1:06:38 PM, ChangeTime: 3/12/2026 12:16:21 AM, FileAttributes: A"
"12:22:43.7956369 PM","main.exe","24160","CloseFile","C:\Windows\System32\apphelp.dll","SUCCESS",""
"12:22:43.7958504 PM","main.exe","24160","CreateFile","C:\Windows\System32\apphelp.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.7959030 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\apphelp.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
"12:22:43.7959281 PM","main.exe","24160","CreateFileMapping","C:\Windows\System32\apphelp.dll","SUCCESS","SyncType: SyncTypeOther"
"12:22:43.7960344 PM","main.exe","24160","Load Image","C:\Windows\System32\apphelp.dll","SUCCESS","Image Base: 0x7fffa1610000, Image Size: 0x9f000"
"12:22:43.7962620 PM","main.exe","24160","CloseFile","C:\Windows\System32\apphelp.dll","SUCCESS",""
"12:22:43.7970074 PM","main.exe","24160","CreateFile","C:\Windows\System32\ntdll.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.7970524 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\ntdll.dll","BUFFER OVERFLOW","Information: Owner"
"12:22:43.7970654 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\ntdll.dll","SUCCESS","Information: Owner"
"12:22:43.7970779 PM","main.exe","24160","CloseFile","C:\Windows\System32\ntdll.dll","SUCCESS",""
"12:22:43.7973067 PM","main.exe","24160","CreateFile","C:\Windows\System32\kernel32.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.7973594 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\kernel32.dll","BUFFER OVERFLOW","Information: Owner"
"12:22:43.7973791 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\kernel32.dll","SUCCESS","Information: Owner"
"12:22:43.7973935 PM","main.exe","24160","CloseFile","C:\Windows\System32\kernel32.dll","SUCCESS",""
"12:22:43.7976473 PM","main.exe","24160","CreateFile","C:\Windows\System32\KernelBase.dll","SUCCESS","Desired Access: Read Control, Disposition: Open, Options: , Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.7976794 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\KernelBase.dll","BUFFER OVERFLOW","Information: Owner"
"12:22:43.7976925 PM","main.exe","24160","QuerySecurityFile","C:\Windows\System32\KernelBase.dll","SUCCESS","Information: Owner"
"12:22:43.7977047 PM","main.exe","24160","CloseFile","C:\Windows\System32\KernelBase.dll","SUCCESS",""
"12:22:43.7991194 PM","main.exe","24160","ReadFile","C:\Windows\System32\apphelp.dll","SUCCESS","Offset: 233,472, Length: 4,096, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"12:22:43.8006248 PM","main.exe","24160","ReadFile","C:\Windows\System32\apphelp.dll","SUCCESS","Offset: 233,472, Length: 28,672, I/O Flags: Non-cached, Paging I/O, Synchronous Paging I/O, Priority: Normal"
"12:22:43.8030818 PM","main.exe","24160","Load Image","C:\Windows\System32\ws2_32.dll","SUCCESS","Image Base: 0x7fffa6720000, Image Size: 0x74000"
"12:22:43.8033010 PM","main.exe","24160","Load Image","C:\Windows\System32\ucrtbase.dll","SUCCESS","Image Base: 0x7fffa55a0000, Image Size: 0x14b000"
"12:22:43.8034677 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\glib-2.0-0.dll","SUCCESS","CreationTime: 4/3/2026 9:27:14 PM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:51:30 PM, ChangeTime: 4/1/2026 11:31:27 PM, AllocationSize: 1,441,792, EndOfFile: 1,438,720, FileAttributes: A"
"12:22:43.8035026 PM","main.exe","24160","QueryOpen","D:\Work\FingerDraw\FingerDraw\windows-server\Application\gstreamer-1.0-0.dll","SUCCESS","CreationTime: 4/3/2026 9:27:14 PM, LastAccessTime: 4/4/2026 12:18:58 PM, LastWriteTime: 2/26/2026 8:53:38 PM, ChangeTime: 4/1/2026 11:31:18 PM, AllocationSize: 1,429,504, EndOfFile: 1,427,968, FileAttributes: A"
"12:22:43.8035821 PM","main.exe","24160","CreateFile","D:\Work\FingerDraw\FingerDraw\windows-server\Application\glib-2.0-0.dll","SUCCESS","Desired Access: Read Data/List Directory, Execute/Traverse, Synchronize, Disposition: Open, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: n/a, ShareMode: Read, Delete, AllocationSize: n/a, OpenResult: Opened"
"12:22:43.8036341 PM","main.exe","24160","Load Image","C:\Windows\System32\rpcrt4.dll","SUCCESS","Image Base: 0x7fffa75d0000, Image Size: 0x118000"
"12:22:43.8036576 PM","main.exe","24160","CreateFileMapping","D:\Work\FingerDraw\FingerDraw\windows-server\Application\glib-2.0-0.dll","FILE LOCKED WITH ONLY READERS","SyncType: SyncTypeCreateSection, PageProtection: PAGE_EXECUTE|PAGE_NOCACHE"
